Indicator,"Opioid-related and other drug poisoning deaths per 100,000 people, by drug type"
Source,"Centers for Disease Control and Prevention, National Center for Health Statistics via CDC WONDER Database.<br />
<br />
Suggested Citation:<br />
<br />
SHADAC analysis of [DATA SOURCE], State Health Compare, SHADAC, University of Minnesota, statehealthcompare.shadac.org, Accessed [DATE].<br />
<div><br />
</div>"
Notes,"Age-adjusted rates of drug-poisoning deaths, including those associated with certain opioids (natural and semi-synthetic opioids [e.g., hydrocodone, oxycodone], synthetic opioids [e.g., fentanyl], and heroin), and other selected drugs. Rates and standard errors obtained from the CDC WONDER Database using ICD-10 underlying cause-of-death codes X40&ndash;X44 (unintentional death), X60&ndash;X64 (suicide), X85 (homicide), and Y10&ndash;Y14 (death of undetermined intent) with multiple cause-of-death codes of T40.2 (other opioids [i.e., natural and semi-synthetic opioids]), T40.4 (other synthetic opioids [i.e., those other than methadone]), T40.1 (heroin), T40.5 (cocaine) and T43.6 (psychostimulants with abuse potential). Excluded opioids include T40.0 (opiuim), T40.3 (methadone), T40.6 (other or unspecified opioids). Deaths from these types of drugs are not mutually exclusive (e.g., an overdose death may involve both heroin and synthetic opioids); because of that, death rates cannot be accurately summed across categories for a total rate. N/A indicates that data are suppressed because the rate is based on 20 or fewer deaths. In some years, deaths related to specific drugs may be under-reported because of an unusually high number of death certificates with a cause listed as "pending" (e.g., Ohio and West Virginia in 2009). More information is available&nbsp;<a href="https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_03.pdf">here</a>."
Description,"<div><span style="font-size: 18px;">Age-adjusted rates of deaths caused by drug poisoning (i.e., overdose), including those caused by natural and semi-synthetic opioids, synthetic opioids (non-methadone), the illegal opioid heroin, cocaine, and psychostimulants.</span></div>
<div><span style="font-size: 18px;"><br />
</span></div>
<div><span style="font-size: 18px;">Natural and semi-synthetic opioids &ndash; This category includes common prescription painkiller pills (e.g., hydrocodone and oxycodone). It includes deaths from painkillers that were legitimately manufactured, prescribed and sold, as well as those that may have been improperly prescribed or diverted from their intended source. It also may include deaths from &ldquo;counterfeit&rdquo; painkiller pills that were illicitly trafficked.</span></div>
<div><span style="font-size: 18px;"><br />
</span></div>
<div><span style="font-size: 18px;">Synthetic opioids &ndash; This category include synthetic opioids (e.g., fentanyl). However, it excludes methadone, a synthetic opioid that is used both as a painkiller and as a U.S. Food and Drug Administration-approved medication for treating opioid use disorder. It includes deaths from synthetic that were legitimately manufactured, prescribed and sold, as well as those that may have been improperly prescribed or diverted from their intended source. It also includes deaths from illicitly trafficked synthetic opioids, which may be sold inaccurately (i.e., sold as heroin when it actually is fentanyl) or combined with other drugs (i.e., mixed into heroin or counterfeit painkiller pills to increase their potency).</span></div>
<div><span style="font-size: 18px;"><br />
</span></div>
<div><span style="font-size: 18px;">Heroin &ndash; This category includes only heroin, which has no legal medical use in the United States and is exclusively trafficked illicitly. However, heroin may be mixed with other drugs (e.g., synthetic opioids).</span></div>
<div><span style="font-size: 18px;"><br />
</span></div>
38,North Dakota,Cocaine,2004,"Rate per 100,000",N/A,N/A
39,Ohio,Cocaine,2004,"Rate per 100,000",2.16523,0.27170810103416443
40,Oklahoma,Cocaine,2004,"Rate per 100,000",1.57439,0.42575186491012573
41,Oregon,Cocaine,2004,"Rate per 100,000",0.82458,0.29757478833198547
42,Pennsylvania,Cocaine,2004,"Rate per 100,000",1.63311,0.23243898153305054
44,Rhode Island,Cocaine,2004,"Rate per 100,000",2.45062,0.94503217935562134
45,South Carolina,Cocaine,2004,"Rate per 100,000",1.40748,0.36067423224449158
46,South Dakota,Cocaine,2004,"Rate per 100,000",N/A,N/A
47,Tennessee,Cocaine,2004,"Rate per 100,000",2.49773,0.40501290559768677
48,Texas,Cocaine,2004,"Rate per 100,000",2.24481,0.19792187213897705
49,Utah,Cocaine,2004,"Rate per 100,000",2.84496,0.70937615633010864
50,Vermont,Cocaine,2004,"Rate per 100,000",N/A,N/A
51,Virginia,Cocaine,2004,"Rate per 100,000",1.65815,0.28783810138702393
53,Washington,Cocaine,2004,"Rate per 100,000",2.59788,0.39693841338157654
54,West Virginia,Cocaine,2004,"Rate per 100,000",3.28894,0.8608439564704895
55,Wisconsin,Cocaine,2004,"Rate per 100,000",1.98787,0.37275895476341248
56,Wyoming,Cocaine,2004,"Rate per 100,000",N/A,N/A
US,United States,Cocaine,2004,"Rate per 100,000",1.87389,4.9946058541536331E-2
01,Alabama,Heroin,2004,"Rate per 100,000",N/A,N/A
02,Alaska,Heroin,2004,"Rate per 100,000",N/A,N/A
04,Arizona,Heroin,2004,"Rate per 100,000",0.75659,0.23560239584000001
05,Arkansas,Heroin,2004,"Rate per 100,000",N/A,N/A
06,California,Heroin,2004,"Rate per 100,000",0.80217,9.3152900399999905E-2
08,Colorado,Heroin,2004,"Rate per 100,000",0.49795,0.20401623535999899
09,Connecticut,Heroin,2004,"Rate per 100,000",2.77313,0.56827163372
10,Delaware,Heroin,2004,"Rate per 100,000",N/A,N/A
11,Dist. of Columbia,Heroin,2004,"Rate per 100,000",N/A,N/A
12,Florida,Heroin,2004,"Rate per 100,000",0.86069,0.14347077891999899
13,Georgia,Heroin,2004,"Rate per 100,000",N/A,N/A
15,Hawaii,Heroin,2004,"Rate per 100,000",N/A,N/A
16,Idaho,Heroin,2004,"Rate per 100,000",N/A,N/A
17,Illinois,Heroin,2004,"Rate per 100,000",0.27825,9.1019767720000005E-2
18,Indiana,Heroin,2004,"Rate per 100,000",N/A,N/A
19,Iowa,Heroin,2004,"Rate per 100,000",N/A,N/A
20,Kansas,Heroin,2004,"Rate per 100,000",N/A,N/A
21,Kentucky,Heroin,2004,"Rate per 100,000",N/A,N/A
22,Louisiana,Heroin,2004,"Rate per 100,000",N/A,N/A
23,Maine,Heroin,2004,"Rate per 100,000",N/A,N/A
24,Maryland,Heroin,2004,"Rate per 100,000",1.30982,0.29900299211999998
25,Massachusetts,Heroin,2004,"Rate per 100,000",N/A,0.11774727439999901
26,Michigan,Heroin,2004,"Rate per 100,000",0.94008,0.19079869312
27,Minnesota,Heroin,2004,"Rate per 100,000",N/A,N/A
28,Mississippi,Heroin,2004,"Rate per 100,000",N/A,N/A
29,Missouri,Heroin,2004,"Rate per 100,000",1.01728,0.26489601487999997
30,Montana,Heroin,2004,"Rate per 100,000",N/A,N/A
31,Nebraska,Heroin,2004,"Rate per 100,000",N/A,N/A
32,Nevada,Heroin,2004,"Rate per 100,000",1.1702,0.44197318116000001
33,New Hampshire,Heroin,2004,"Rate per 100,000",N/A,N/A
34,New Jersey,Heroin,2004,"Rate per 100,000",1.39077,0.25149234123999997
35,New Mexico,Heroin,2004,"Rate per 100,000",1.80549,0.62012146392
36,New York,Heroin,2004,"Rate per 100,000",0.16115,5.5589380840000001E-2
37,North Carolina,Heroin,2004,"Rate per 100,000",0.56298,0.15778410424
38,North Dakota,Heroin,2004,"Rate per 100,000",N/A,N/A
39,Ohio,Heroin,2004,"Rate per 100,000",1.13541,0.19670842044
40,Oklahoma,Heroin,2004,"Rate per 100,000",N/A,N/A
41,Oregon,Heroin,2004,"Rate per 100,000",1.30922,0.37770456359999899
42,Pennsylvania,Heroin,2004,"Rate per 100,000",1.10534,0.19021114391999999
44,Rhode Island,Heroin,2004,"Rate per 100,000",N/A,N/A
45,South Carolina,Heroin,2004,"Rate per 100,000",N/A,N/A
46,South Dakota,Heroin,2004,"Rate per 100,000",N/A,N/A
47,Tennessee,Heroin,2004,"Rate per 100,000",N/A,N/A
48,Texas,Heroin,2004,"Rate per 100,000",0.90207,0.124956224959999
49,Utah,Heroin,2004,"Rate per 100,000",0.91108,0.39354866068
50,Vermont,Heroin,2004,"Rate per 100,000",N/A,N/A
51,Virginia,Heroin,2004,"Rate per 100,000",0.8689,0.20852150899999899
53,Washington,Heroin,2004,"Rate per 100,000",0.88945,0.23213005983999899
54,West Virginia,Heroin,2004,"Rate per 100,000",N/A,0.36221047351999902
55,Wisconsin,Heroin,2004,"Rate per 100,000",0.39495,0.16554159019999901
56,Wyoming,Heroin,2004,"Rate per 100,000",N/A,N/A
US,United States,Heroin,2004,"Rate per 100,000",0.63076,2.86045869199999E-2
01,Alabama,Natural and semi-synthetic opioids,2004,"Rate per 100,000",0.74169,0.25839920288000001
02,Alaska,Natural and semi-synthetic opioids,2004,"Rate per 100,000",N/A,N/A
04,Arizona,Natural and semi-synthetic opioids,2004,"Rate per 100,000",2.65447,0.43370943307999898
05,Arkansas,Natural and semi-synthetic opioids,2004,"Rate per 100,000",2.43089,0.60304829788000003
06,California,Natural and semi-synthetic opioids,2004,"Rate per 100,000",2.12555,0.152578257999999
08,Colorado,Natural and semi-synthetic opioids,2004,"Rate per 100,000",1.70449,0.37545658863999898
09,Connecticut,Natural and semi-synthetic opioids,2004,"Rate per 100,000",0.8461,0.30484021511999998
10,Delaware,Natural and semi-synthetic opioids,2004,"Rate per 100,000",N/A,0.86282720355999898
11,Dist. of Columbia,Natural and semi-synthetic opioids,2004,"Rate per 100,000",N/A,1.52010941684
12,Florida,Natural and semi-synthetic opioids,2004,"Rate per 100,000",3.14873,0.26744796624
13,Georgia,Natural and semi-synthetic opioids,2004,"Rate per 100,000",1.11714,0.21923927900000001
15,Hawaii,Natural and semi-synthetic opioids,2004,"Rate per 100,000",2.44845,0.85442524215999904
16,Idaho,Natural and semi-synthetic opioids,2004,"Rate per 100,000",1.59845,0.68785101224
17,Illinois,Natural and semi-synthetic opioids,2004,"Rate per 100,000",0.59167,0.13546128792000001
18,Indiana,Natural and semi-synthetic opioids,2004,"Rate per 100,000",0.82254,0.22902113527999901
19,Iowa,Natural and semi-synthetic opioids,2004,"Rate per 100,000",1.14305,0.38644216912000001
20,Kansas,Natural and semi-synthetic opioids,2004,"Rate per 100,000",2.27833,0.58432010000000001
21,Kentucky,Natural and semi-synthetic opioids,2004,"Rate per 100,000",2.14223,0.44631174699999998
22,Louisiana,Natural and semi-synthetic opioids,2004,"Rate per 100,000",1.23728,0.32878481383999902
23,Maine,Natural and semi-synthetic opioids,2004,"Rate per 100,000",2.09588,0.79969955100000001
24,Maryland,Natural and semi-synthetic opioids,2004,"Rate per 100,000",1.32589,0.29868518399999899
25,Massachusetts,Natural and semi-synthetic opioids,2004,"Rate per 100,000",1.0121,0.24648699123999901
26,Michigan,Natural and semi-synthetic opioids,2004,"Rate per 100,000",1.03627,0.1997802226
27,Minnesota,Natural and semi-synthetic opioids,2004,"Rate per 100,000",1.22443,0.30098979316000002
28,Mississippi,Natural and semi-synthetic opioids,2004,"Rate per 100,000",N/A,0.29039841571999903
29,Missouri,Natural and semi-synthetic opioids,2004,"Rate per 100,000",2.37431,0.40671773604
30,Montana,Natural and semi-synthetic opioids,2004,"Rate per 100,000",N/A,0.76444444887999896
31,Nebraska,Natural and semi-synthetic opioids,2004,"Rate per 100,000",1.21751,0.53596216071999903
32,Nevada,Natural and semi-synthetic opioids,2004,"Rate per 100,000",3.95964,0.80393933283999996
33,New Hampshire,Natural and semi-synthetic opioids,2004,"Rate per 100,000",2.10468,0.78518020420000001
34,New Jersey,Natural and semi-synthetic opioids,2004,"Rate per 100,000",0.99803,0.20921001976
35,New Mexico,Natural and semi-synthetic opioids,2004,"Rate per 100,000",5.27254,1.0510170210400001
36,New York,Natural and semi-synthetic opioids,2004,"Rate per 100,000",0.40913,8.920751448E-2
37,North Carolina,Natural and semi-synthetic opioids,2004,"Rate per 100,000",1.89434,0.29150724259999899
38,North Dakota,Natural and semi-synthetic opioids,2004,"Rate per 100,000",N/A,N/A
39,Ohio,Natural and semi-synthetic opioids,2004,"Rate per 100,000",1.58631,0.23038607536
40,Oklahoma,Natural and semi-synthetic opioids,2004,"Rate per 100,000",4.17784,0.68423704468000002
41,Oregon,Natural and semi-synthetic opioids,2004,"Rate per 100,000",1.79898,0.437773153999999
42,Pennsylvania,Natural and semi-synthetic opioids,2004,"Rate per 100,000",1.27447,0.20250463631999999
44,Rhode Island,Natural and semi-synthetic opioids,2004,"Rate per 100,000",N/A,0.78883193312
45,South Carolina,Natural and semi-synthetic opioids,2004,"Rate per 100,000",1.44959,0.37146846492000002
46,South Dakota,Natural and semi-synthetic opioids,2004,"Rate per 100,000",N/A,N/A
47,Tennessee,Natural and semi-synthetic opioids,2004,"Rate per 100,000",3.0686,0.44637873979999898
48,Texas,Natural and semi-synthetic opioids,2004,"Rate per 100,000",1.6259,0.16872026528
49,Utah,Natural and semi-synthetic opioids,2004,"Rate per 100,000",6.66513,1.0961033596799901
50,Vermont,Natural and semi-synthetic opioids,2004,"Rate per 100,000",3.8596,1.5661556909600001
51,Virginia,Natural and semi-synthetic opioids,2004,"Rate per 100,000",2.32472,0.34128478439999899
53,Washington,Natural and semi-synthetic opioids,2004,"Rate per 100,000",3.289,0.44680585711999898
54,West Virginia,Natural and semi-synthetic opioids,2004,"Rate per 100,000",6.5041,1.2057323846399901
55,Wisconsin,Natural and semi-synthetic opioids,2004,"Rate per 100,000",1.90348,0.36385143451999902
56,Wyoming,Natural and semi-synthetic opioids,2004,"Rate per 100,000",N/A,N/A
US,United States,Natural and semi-synthetic opioids,2004,"Rate per 100,000",1.77319,4.8272022679999901E-2
01,Alabama,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
02,Alaska,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
04,Arizona,Psychostimulants,2004,"Rate per 100,000",1.51564,0.33149677515029907
05,Arkansas,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
06,California,Psychostimulants,2004,"Rate per 100,000",1.26022,0.11723554879426956
08,Colorado,Psychostimulants,2004,"Rate per 100,000",0.61277,0.2199842631816864
09,Connecticut,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
10,Delaware,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
11,Dist. of Columbia,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
12,Florida,Psychostimulants,2004,"Rate per 100,000",0.21012,7.3277465999126434E-2
13,Georgia,Psychostimulants,2004,"Rate per 100,000",0.46777,0.14189924299716949
15,Hawaii,Psychostimulants,2004,"Rate per 100,000",2.18376,0.81479471921920776
16,Idaho,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
17,Illinois,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
18,Indiana,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
19,Iowa,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
20,Kansas,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
21,Kentucky,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
22,Louisiana,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
23,Maine,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
24,Maryland,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
25,Massachusetts,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
26,Michigan,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
27,Minnesota,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
28,Mississippi,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
29,Missouri,Psychostimulants,2004,"Rate per 100,000",0.44183,0.17728234827518463
30,Montana,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
31,Nebraska,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
32,Nevada,Psychostimulants,2004,"Rate per 100,000",3.00315,0.70516288280487061
33,New Hampshire,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
34,New Jersey,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
35,New Mexico,Psychostimulants,2004,"Rate per 100,000",1.56476,0.58297806978225708
36,New York,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
37,North Carolina,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
38,North Dakota,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
39,Ohio,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
40,Oklahoma,Psychostimulants,2004,"Rate per 100,000",1.4781,0.41612625122070313
41,Oregon,Psychostimulants,2004,"Rate per 100,000",0.77189,0.29286649823188782
42,Pennsylvania,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
44,Rhode Island,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
45,South Carolina,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
46,South Dakota,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
47,Tennessee,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
48,Texas,Psychostimulants,2004,"Rate per 100,000",0.38818,8.1617087125778198E-2
49,Utah,Psychostimulants,2004,"Rate per 100,000",1.83377,0.57823419570922852
50,Vermont,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
51,Virginia,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
53,Washington,Psychostimulants,2004,"Rate per 100,000",1.46869,0.3011195957660675
54,West Virginia,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
55,Wisconsin,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
56,Wyoming,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
US,United States,Psychostimulants,2004,"Rate per 100,000",0.44069,2.4196324869990349E-2
01,Alabama,Synthetic opioids,2004,"Rate per 100,000",N/A,0.16631592151999899
02,Alaska,Synthetic opioids,2004,"Rate per 100,000",N/A,N/A
04,Arizona,Synthetic opioids,2004,"Rate per 100,000",0.53209,0.19782640835999901
05,Arkansas,Synthetic opioids,2004,"Rate per 100,000",1.12157,0.40475768115999899
06,California,Synthetic opioids,2004,"Rate per 100,000",0.40952,6.8065923520000002E-2
08,Colorado,Synthetic opioids,2004,"Rate per 100,000",0.47753,0.20137533724000001
09,Connecticut,Synthetic opioids,2004,"Rate per 100,000",N/A,0.17484462632
10,Delaware,Synthetic opioids,2004,"Rate per 100,000",N/A,N/A
11,Dist. of Columbia,Synthetic opioids,2004,"Rate per 100,000",N/A,N/A
12,Florida,Synthetic opioids,2004,"Rate per 100,000",0.91318,0.14243252968
13,Georgia,Synthetic opioids,2004,"Rate per 100,000",0.38329,0.12801362895999899
15,Hawaii,Synthetic opioids,2004,"Rate per 100,000",N/A,N/A
16,Idaho,Synthetic opioids,2004,"Rate per 100,000",N/A,N/A
17,Illinois,Synthetic opioids,2004,"Rate per 100,000",0.31086,9.8960392159999994E-2
18,Indiana,Synthetic opioids,2004,"Rate per 100,000",0.41309,0.16272838651999899
19,Iowa,Synthetic opioids,2004,"Rate per 100,000",N/A,0.25179937719999901
20,Kansas,Synthetic opioids,2004,"Rate per 100,000",0.82563,0.34726861735999898
21,Kentucky,Synthetic opioids,2004,"Rate per 100,000",0.77939,0.27081734147999997
22,Louisiana,Synthetic opioids,2004,"Rate per 100,000",N/A,0.15455767375999999
23,Maine,Synthetic opioids,2004,"Rate per 100,000",N/A,N/A
24,Maryland,Synthetic opioids,2004,"Rate per 100,000",N/A,0.137836023919999
25,Massachusetts,Synthetic opioids,2004,"Rate per 100,000",0.5377,0.18106502148
26,Michigan,Synthetic opioids,2004,"Rate per 100,000",0.48671,0.13818213052
27,Minnesota,Synthetic opioids,2004,"Rate per 100,000",N/A,0.15544167296
28,Mississippi,Synthetic opioids,2004,"Rate per 100,000",N/A,N/A
29,Missouri,Synthetic opioids,2004,"Rate per 100,000",0.85835,0.2463450402
30,Montana,Synthetic opioids,2004,"Rate per 100,000",N/A,N/A
31,Nebraska,Synthetic opioids,2004,"Rate per 100,000",N/A,N/A
32,Nevada,Synthetic opioids,2004,"Rate per 100,000",0.97972,0.40146643348
33,New Hampshire,Synthetic opioids,2004,"Rate per 100,000",N/A,N/A
34,New Jersey,Synthetic opioids,2004,"Rate per 100,000",0.27219,0.11218992764000001
35,New Mexico,Synthetic opioids,2004,"Rate per 100,000",N/A,0.40317870711999898
36,New York,Synthetic opioids,2004,"Rate per 100,000",N/A,4.2120399999999898E-2
37,North Carolina,Synthetic opioids,2004,"Rate per 100,000",1.26367,0.23788946495999899
38,North Dakota,Synthetic opioids,2004,"Rate per 100,000",N/A,N/A
39,Ohio,Synthetic opioids,2004,"Rate per 100,000",0.69609,0.155502070359999
40,Oklahoma,Synthetic opioids,2004,"Rate per 100,000",1.34609,0.39179586795999999
41,Oregon,Synthetic opioids,2004,"Rate per 100,000",N/A,0.19853396835999901
42,Pennsylvania,Synthetic opioids,2004,"Rate per 100,000",0.71269,0.15193868648
44,Rhode Island,Synthetic opioids,2004,"Rate per 100,000",N/A,0.58373232343999903
45,South Carolina,Synthetic opioids,2004,"Rate per 100,000",0.77055,0.26820592764000001
46,South Dakota,Synthetic opioids,2004,"Rate per 100,000",N/A,N/A
47,Tennessee,Synthetic opioids,2004,"Rate per 100,000",1.25938,0.28824887587999898
48,Texas,Synthetic opioids,2004,"Rate per 100,000",0.43207,8.7393663839999899E-2
49,Utah,Synthetic opioids,2004,"Rate per 100,000",N/A,0.33082446824
50,Vermont,Synthetic opioids,2004,"Rate per 100,000",N/A,1.1226802795599899
51,Virginia,Synthetic opioids,2004,"Rate per 100,000",0.8346,0.20805962128
53,Washington,Synthetic opioids,2004,"Rate per 100,000",0.66633,0.20266700075999899
54,West Virginia,Synthetic opioids,2004,"Rate per 100,000",3.68673,0.89273214855999905
55,Wisconsin,Synthetic opioids,2004,"Rate per 100,000",0.75271,0.22849163736
56,Wyoming,Synthetic opioids,2004,"Rate per 100,000",N/A,N/A
US,United States,Synthetic opioids,2004,"Rate per 100,000",0.56261,2.71291832E-2
01,Alabama,Cocaine,2005,"Rate per 100,000",0.79213,0.26768457889556885
02,Alaska,Cocaine,2005,"Rate per 100,000",N/A,N/A
04,Arizona,Cocaine,2005,"Rate per 100,000",2.22009,0.39281398057937622
05,Arkansas,Cocaine,2005,"Rate per 100,000",1.26299,0.44027021527290344
06,California,Cocaine,2005,"Rate per 100,000",1.11482,0.10924697667360306
08,Colorado,Cocaine,2005,"Rate per 100,000",2.94991,0.48687073588371277
09,Connecticut,Cocaine,2005,"Rate per 100,000",2.29868,0.50990152359008789
10,Delaware,Cocaine,2005,"Rate per 100,000",N/A,N/A
11,Dist. of Columbia,Cocaine,2005,"Rate per 100,000",7.03615,2.2178652286529541
12,Florida,Cocaine,2005,"Rate per 100,000",3.03281,0.26198294758796692
13,Georgia,Cocaine,2005,"Rate per 100,000",1.62904,0.26371732354164124
15,Hawaii,Cocaine,2005,"Rate per 100,000",N/A,N/A
16,Idaho,Cocaine,2005,"Rate per 100,000",N/A,N/A
17,Illinois,Cocaine,2005,"Rate per 100,000",3.38104,0.3225904107093811
18,Indiana,Cocaine,2005,"Rate per 100,000",0.80005,0.22709611058235168
19,Iowa,Cocaine,2005,"Rate per 100,000",N/A,N/A
20,Kansas,Cocaine,2005,"Rate per 100,000",1.34047,0.44690921902656555
21,Kentucky,Cocaine,2005,"Rate per 100,000",1.65804,0.39532220363616943
22,Louisiana,Cocaine,2005,"Rate per 100,000",2.29083,0.44933119416236877
23,Maine,Cocaine,2005,"Rate per 100,000",N/A,N/A
24,Maryland,Cocaine,2005,"Rate per 100,000",2.735,0.42895874381065369
25,Massachusetts,Cocaine,2005,"Rate per 100,000",4.04618,0.4938739538192749
26,Michigan,Cocaine,2005,"Rate per 100,000",1.96696,0.27642059326171875
27,Minnesota,Cocaine,2005,"Rate per 100,000",0.4846,0.18784403800964355
28,Mississippi,Cocaine,2005,"Rate per 100,000",0.96347,0.36614984273910522
29,Missouri,Cocaine,2005,"Rate per 100,000",1.37567,0.30764010548591614
30,Montana,Cocaine,2005,"Rate per 100,000",N/A,N/A
31,Nebraska,Cocaine,2005,"Rate per 100,000",N/A,N/A
32,Nevada,Cocaine,2005,"Rate per 100,000",3.69176,0.7615007758140564
33,New Hampshire,Cocaine,2005,"Rate per 100,000",2.86295,0.92837971448898315
34,New Jersey,Cocaine,2005,"Rate per 100,000",3.48647,0.39241379499435425
35,New Mexico,Cocaine,2005,"Rate per 100,000",5.87066,1.1143567562103271
36,New York,Cocaine,2005,"Rate per 100,000",2.34071,0.21582546830177307
37,North Carolina,Cocaine,2005,"Rate per 100,000",3.38682,0.38887044787406921
38,North Dakota,Cocaine,2005,"Rate per 100,000",N/A,N/A
39,Ohio,Cocaine,2005,"Rate per 100,000",2.11932,0.27086907625198364
40,Oklahoma,Cocaine,2005,"Rate per 100,000",1.05658,0.34755274653434753
41,Oregon,Cocaine,2005,"Rate per 100,000",0.97306,0.32583194971084595
42,Pennsylvania,Cocaine,2005,"Rate per 100,000",1.81231,0.24313223361968994
44,Rhode Island,Cocaine,2005,"Rate per 100,000",4.78952,1.320009708404541
45,South Carolina,Cocaine,2005,"Rate per 100,000",1.86487,0.41401234269142151
46,South Dakota,Cocaine,2005,"Rate per 100,000",N/A,N/A
47,Tennessee,Cocaine,2005,"Rate per 100,000",3.32234,0.46480339765548706
48,Texas,Cocaine,2005,"Rate per 100,000",2.24933,0.19730448722839355
49,Utah,Cocaine,2005,"Rate per 100,000",3.42603,0.75663304328918457
50,Vermont,Cocaine,2005,"Rate per 100,000",N/A,N/A
51,Virginia,Cocaine,2005,"Rate per 100,000",1.7768,0.29838025569915771
53,Washington,Cocaine,2005,"Rate per 100,000",2.40587,0.37939959764480591
54,West Virginia,Cocaine,2005,"Rate per 100,000",2.39928,0.73109215497970581
55,Wisconsin,Cocaine,2005,"Rate per 100,000",2.1735,0.39263972640037537
56,Wyoming,Cocaine,2005,"Rate per 100,000",N/A,N/A
US,United States,Cocaine,2005,"Rate per 100,000",2.09537,5.2369888871908188E-2
01,Alabama,Heroin,2005,"Rate per 100,000",N/A,N/A
02,Alaska,Heroin,2005,"Rate per 100,000",N/A,N/A
04,Arizona,Heroin,2005,"Rate per 100,000",0.56141,0.19528066236
05,Arkansas,Heroin,2005,"Rate per 100,000",N/A,N/A
06,California,Heroin,2005,"Rate per 100,000",0.68988,8.601091324E-2
08,Colorado,Heroin,2005,"Rate per 100,000",0.84408,0.25953529727999902
09,Connecticut,Heroin,2005,"Rate per 100,000",2.16231,0.49583374791999901
10,Delaware,Heroin,2005,"Rate per 100,000",N/A,N/A
11,Dist. of Columbia,Heroin,2005,"Rate per 100,000",N/A,N/A
12,Florida,Heroin,2005,"Rate per 100,000",0.6511,0.123452068039999
13,Georgia,Heroin,2005,"Rate per 100,000",N/A,N/A
15,Hawaii,Heroin,2005,"Rate per 100,000",N/A,N/A
16,Idaho,Heroin,2005,"Rate per 100,000",N/A,N/A
17,Illinois,Heroin,2005,"Rate per 100,000",0.38166,0.10691175152
18,Indiana,Heroin,2005,"Rate per 100,000",N/A,0.11612743632
19,Iowa,Heroin,2005,"Rate per 100,000",N/A,N/A
20,Kansas,Heroin,2005,"Rate per 100,000",N/A,N/A
21,Kentucky,Heroin,2005,"Rate per 100,000",N/A,N/A
22,Louisiana,Heroin,2005,"Rate per 100,000",N/A,N/A
23,Maine,Heroin,2005,"Rate per 100,000",N/A,N/A
24,Maryland,Heroin,2005,"Rate per 100,000",1.35045,0.298872865759999
25,Massachusetts,Heroin,2005,"Rate per 100,000",0.31522,0.13856276643999901
26,Michigan,Heroin,2005,"Rate per 100,000",1.48818,0.2391671772
27,Minnesota,Heroin,2005,"Rate per 100,000",N/A,N/A
28,Mississippi,Heroin,2005,"Rate per 100,000",N/A,N/A
29,Missouri,Heroin,2005,"Rate per 100,000",0.91817,0.25060851843999898
30,Montana,Heroin,2005,"Rate per 100,000",N/A,N/A
31,Nebraska,Heroin,2005,"Rate per 100,000",N/A,N/A
32,Nevada,Heroin,2005,"Rate per 100,000",1.88928,0.54710560939999897
33,New Hampshire,Heroin,2005,"Rate per 100,000",N/A,N/A
34,New Jersey,Heroin,2005,"Rate per 100,000",1.97116,0.29886566471999898
35,New Mexico,Heroin,2005,"Rate per 100,000",2.45169,0.72218846000000003
36,New York,Heroin,2005,"Rate per 100,000",0.17081,5.7488616919999902E-2
