Indicator,"Prescription opioid painkiller sales in kilograms per 100,000 people by oxycodone and hydrocodone"
Source,"U.S. Drug Enforcement Agency's Automated Reports and Consolidated Ordering System (ARCOS) Retail Drug Summary Reports.<br />
<br />
Suggested Citation:<br />
SHADAC analysis of [DATA SOURCE], State Health Compare, SHADAC, University of Minnesota, statehealthcompare.shadac.org, Accessed [DATE]."
Notes,"The DEA ARCOS system records legal transactions of controlled substances, such as prescription opioids. Although there are other prescription opioids, oxycodone (also known by the brand names "Oxycontin" and "Percocet") and hydrocodone (also known by the brand names "Vicodin" and "Lortab") are the most common according to DEA ARCOS data."
Description,"Annual kilograms sold of oxycodone and hydrocodone per 100,000 people.<br />"
12,Florida,Oxycodone,2017,"Rate per 100,000",21.82778,
12,Florida,Hydrocodone,2017,"Rate per 100,000",7.60453,
13,Georgia,Hydrocodone,2017,"Rate per 100,000",10.12748,
13,Georgia,Oxycodone,2017,"Rate per 100,000",18.40012,
13,Georgia,Hydrocodone,2016,"Rate per 100,000",11.15858,
13,Georgia,Hydrocodone,2015,"Rate per 100,000",11.90841,
13,Georgia,Hydrocodone,2014,"Rate per 100,000",13.2256,
13,Georgia,Hydrocodone,2013,"Rate per 100,000",14.97973,
13,Georgia,Hydrocodone,2012,"Rate per 100,000",14.42284,
13,Georgia,Hydrocodone,2011,"Rate per 100,000",14.47615,
13,Georgia,Hydrocodone,2010,"Rate per 100,000",13.36849,
13,Georgia,Hydrocodone,2009,"Rate per 100,000",14.64524,
13,Georgia,Hydrocodone,2008,"Rate per 100,000",13.77298,
13,Georgia,Hydrocodone,2007,"Rate per 100,000",16.19689,
13,Georgia,Hydrocodone,2006,"Rate per 100,000",11.15684,
13,Georgia,Hydrocodone,2005,"Rate per 100,000",9.78398,
13,Georgia,Hydrocodone,2004,"Rate per 100,000",9.21232,
13,Georgia,Hydrocodone,2003,"Rate per 100,000",9.31122,
13,Georgia,Hydrocodone,2002,"Rate per 100,000",8.18108,
13,Georgia,Hydrocodone,2001,"Rate per 100,000",6.37701,
13,Georgia,Hydrocodone,2000,"Rate per 100,000",6.08747,
13,Georgia,Oxycodone,2016,"Rate per 100,000",18.93447,
13,Georgia,Oxycodone,2015,"Rate per 100,000",18.35368,
13,Georgia,Oxycodone,2014,"Rate per 100,000",17.10302,
13,Georgia,Oxycodone,2013,"Rate per 100,000",16.73767,
13,Georgia,Oxycodone,2012,"Rate per 100,000",18.2573,
13,Georgia,Oxycodone,2011,"Rate per 100,000",19.55468,
13,Georgia,Oxycodone,2010,"Rate per 100,000",17.27213,
13,Georgia,Oxycodone,2009,"Rate per 100,000",15.75143,
13,Georgia,Oxycodone,2008,"Rate per 100,000",13.57185,
13,Georgia,Oxycodone,2007,"Rate per 100,000",11.96482,
13,Georgia,Oxycodone,2006,"Rate per 100,000",10.31211,
13,Georgia,Oxycodone,2005,"Rate per 100,000",8.06814,
13,Georgia,Oxycodone,2004,"Rate per 100,000",8.57519,
13,Georgia,Oxycodone,2003,"Rate per 100,000",9.18937,
13,Georgia,Oxycodone,2002,"Rate per 100,000",8.17436,
13,Georgia,Oxycodone,2001,"Rate per 100,000",7.14613,
13,Georgia,Oxycodone,2000,"Rate per 100,000",5.58962,
15,Hawaii,Oxycodone,2000,"Rate per 100,000",4.55074,
15,Hawaii,Oxycodone,2001,"Rate per 100,000",7.61492,
15,Hawaii,Oxycodone,2002,"Rate per 100,000",9.25374,
15,Hawaii,Oxycodone,2003,"Rate per 100,000",9.6607,
15,Hawaii,Oxycodone,2004,"Rate per 100,000",10.04217,
15,Hawaii,Oxycodone,2005,"Rate per 100,000",9.75339,
15,Hawaii,Oxycodone,2006,"Rate per 100,000",12.16439,
15,Hawaii,Oxycodone,2007,"Rate per 100,000",12.54348,
15,Hawaii,Oxycodone,2008,"Rate per 100,000",14.76026,
15,Hawaii,Oxycodone,2009,"Rate per 100,000",16.97377,
15,Hawaii,Oxycodone,2010,"Rate per 100,000",16.82651,
15,Hawaii,Oxycodone,2011,"Rate per 100,000",18.01048,
15,Hawaii,Oxycodone,2012,"Rate per 100,000",18.31692,
15,Hawaii,Oxycodone,2013,"Rate per 100,000",17.32432,
15,Hawaii,Oxycodone,2014,"Rate per 100,000",15.43053,
15,Hawaii,Oxycodone,2015,"Rate per 100,000",15.16821,
15,Hawaii,Oxycodone,2016,"Rate per 100,000",14.33464,
15,Hawaii,Hydrocodone,2000,"Rate per 100,000",2.6126,
15,Hawaii,Hydrocodone,2001,"Rate per 100,000",3.24224,
15,Hawaii,Hydrocodone,2002,"Rate per 100,000",3.88576,
15,Hawaii,Hydrocodone,2003,"Rate per 100,000",4.53779,
15,Hawaii,Hydrocodone,2004,"Rate per 100,000",5.16988,
15,Hawaii,Hydrocodone,2005,"Rate per 100,000",5.43445,
15,Hawaii,Hydrocodone,2006,"Rate per 100,000",6.35033,
15,Hawaii,Hydrocodone,2007,"Rate per 100,000",7.01122,
15,Hawaii,Hydrocodone,2008,"Rate per 100,000",7.31006,
15,Hawaii,Hydrocodone,2009,"Rate per 100,000",7.66476,
15,Hawaii,Hydrocodone,2010,"Rate per 100,000",7.06771,
15,Hawaii,Hydrocodone,2011,"Rate per 100,000",7.27153,
15,Hawaii,Hydrocodone,2012,"Rate per 100,000",7.43309,
15,Hawaii,Hydrocodone,2013,"Rate per 100,000",7.28823,
15,Hawaii,Hydrocodone,2014,"Rate per 100,000",6.9345,
15,Hawaii,Hydrocodone,2015,"Rate per 100,000",6.21934,
15,Hawaii,Hydrocodone,2016,"Rate per 100,000",5.71571,
15,Hawaii,Oxycodone,2017,"Rate per 100,000",12.7308,
15,Hawaii,Hydrocodone,2017,"Rate per 100,000",5.13739,
16,Idaho,Hydrocodone,2017,"Rate per 100,000",14.30257,
16,Idaho,Oxycodone,2017,"Rate per 100,000",15.4,
16,Idaho,Hydrocodone,2016,"Rate per 100,000",15.62002,
16,Idaho,Hydrocodone,2015,"Rate per 100,000",16.48161,
16,Idaho,Hydrocodone,2014,"Rate per 100,000",17.46485,
16,Idaho,Hydrocodone,2013,"Rate per 100,000",17.85395,
16,Idaho,Hydrocodone,2012,"Rate per 100,000",17.75262,
16,Idaho,Hydrocodone,2011,"Rate per 100,000",17.26952,
16,Idaho,Hydrocodone,2010,"Rate per 100,000",15.55365,
16,Idaho,Hydrocodone,2009,"Rate per 100,000",16.07444,
16,Idaho,Hydrocodone,2008,"Rate per 100,000",15.07843,
16,Idaho,Hydrocodone,2007,"Rate per 100,000",14.03556,
16,Idaho,Hydrocodone,2006,"Rate per 100,000",13.48321,
16,Idaho,Hydrocodone,2005,"Rate per 100,000",11.72467,
16,Idaho,Hydrocodone,2004,"Rate per 100,000",10.69935,
16,Idaho,Hydrocodone,2003,"Rate per 100,000",9.66837,
16,Idaho,Hydrocodone,2002,"Rate per 100,000",8.06404,
16,Idaho,Hydrocodone,2001,"Rate per 100,000",6.79519,
16,Idaho,Hydrocodone,2000,"Rate per 100,000",6.09628,
16,Idaho,Oxycodone,2016,"Rate per 100,000",16.25012,
16,Idaho,Oxycodone,2015,"Rate per 100,000",17.01253,
16,Idaho,Oxycodone,2014,"Rate per 100,000",16.77056,
16,Idaho,Oxycodone,2013,"Rate per 100,000",15.66332,
16,Idaho,Oxycodone,2012,"Rate per 100,000",15.02476,
16,Idaho,Oxycodone,2011,"Rate per 100,000",13.39364,
16,Idaho,Oxycodone,2010,"Rate per 100,000",11.94152,
16,Idaho,Oxycodone,2009,"Rate per 100,000",13.09853,
16,Idaho,Oxycodone,2008,"Rate per 100,000",11.84263,
16,Idaho,Oxycodone,2007,"Rate per 100,000",11.10652,
16,Idaho,Oxycodone,2006,"Rate per 100,000",8.88878,
16,Idaho,Oxycodone,2005,"Rate per 100,000",7.07825,
16,Idaho,Oxycodone,2004,"Rate per 100,000",7.38104,
16,Idaho,Oxycodone,2003,"Rate per 100,000",7.00877,
16,Idaho,Oxycodone,2002,"Rate per 100,000",6.02101,
16,Idaho,Oxycodone,2001,"Rate per 100,000",4.78871,
16,Idaho,Oxycodone,2000,"Rate per 100,000",3.30429,
17,Illinois,Oxycodone,2000,"Rate per 100,000",1.61091,
17,Illinois,Oxycodone,2001,"Rate per 100,000",2.35323,
17,Illinois,Oxycodone,2002,"Rate per 100,000",2.71889,
17,Illinois,Oxycodone,2003,"Rate per 100,000",3.18625,
17,Illinois,Oxycodone,2004,"Rate per 100,000",3.52168,
17,Illinois,Oxycodone,2005,"Rate per 100,000",3.43538,
17,Illinois,Oxycodone,2006,"Rate per 100,000",3.94553,
17,Illinois,Oxycodone,2007,"Rate per 100,000",3.9522,
17,Illinois,Oxycodone,2008,"Rate per 100,000",4.16004,
17,Illinois,Oxycodone,2009,"Rate per 100,000",4.42869,
17,Illinois,Oxycodone,2010,"Rate per 100,000",4.6563,
17,Illinois,Oxycodone,2011,"Rate per 100,000",5.01467,
17,Illinois,Oxycodone,2012,"Rate per 100,000",4.94275,
17,Illinois,Oxycodone,2013,"Rate per 100,000",4.84133,
17,Illinois,Oxycodone,2014,"Rate per 100,000",5.07855,
17,Illinois,Oxycodone,2015,"Rate per 100,000",5.4205,
17,Illinois,Oxycodone,2016,"Rate per 100,000",5.40145,
17,Illinois,Hydrocodone,2000,"Rate per 100,000",3.63494,
17,Illinois,Hydrocodone,2001,"Rate per 100,000",4.04057,
17,Illinois,Hydrocodone,2002,"Rate per 100,000",4.69324,
17,Illinois,Hydrocodone,2003,"Rate per 100,000",5.60515,
17,Illinois,Hydrocodone,2004,"Rate per 100,000",6.30406,
17,Illinois,Hydrocodone,2005,"Rate per 100,000",6.97914,
17,Illinois,Hydrocodone,2006,"Rate per 100,000",8.98041,
17,Illinois,Hydrocodone,2007,"Rate per 100,000",9.847,
17,Illinois,Hydrocodone,2008,"Rate per 100,000",10.64659,
17,Illinois,Hydrocodone,2009,"Rate per 100,000",9.14134,
17,Illinois,Hydrocodone,2010,"Rate per 100,000",10.14869,
17,Illinois,Hydrocodone,2011,"Rate per 100,000",11.94546,
17,Illinois,Hydrocodone,2012,"Rate per 100,000",11.79408,
17,Illinois,Hydrocodone,2013,"Rate per 100,000",12.06531,
17,Illinois,Hydrocodone,2014,"Rate per 100,000",11.78423,
17,Illinois,Hydrocodone,2015,"Rate per 100,000",11.10835,
17,Illinois,Hydrocodone,2016,"Rate per 100,000",10.59021,
17,Illinois,Oxycodone,2017,"Rate per 100,000",4.93041,
17,Illinois,Hydrocodone,2017,"Rate per 100,000",9.58134,
18,Indiana,Hydrocodone,2017,"Rate per 100,000",13.93541,
18,Indiana,Oxycodone,2017,"Rate per 100,000",14.25556,
18,Indiana,Hydrocodone,2016,"Rate per 100,000",15.56763,
18,Indiana,Hydrocodone,2015,"Rate per 100,000",16.7106,
18,Indiana,Hydrocodone,2014,"Rate per 100,000",17.95664,
18,Indiana,Hydrocodone,2013,"Rate per 100,000",21.25282,
18,Indiana,Hydrocodone,2012,"Rate per 100,000",21.76473,
18,Indiana,Hydrocodone,2011,"Rate per 100,000",21.48696,
18,Indiana,Hydrocodone,2010,"Rate per 100,000",19.13795,
18,Indiana,Hydrocodone,2009,"Rate per 100,000",19.32318,
18,Indiana,Hydrocodone,2008,"Rate per 100,000",17.77394,
18,Indiana,Hydrocodone,2007,"Rate per 100,000",16.09261,
18,Indiana,Hydrocodone,2006,"Rate per 100,000",13.19288,
18,Indiana,Hydrocodone,2005,"Rate per 100,000",11.89353,
18,Indiana,Hydrocodone,2004,"Rate per 100,000",10.61872,
18,Indiana,Hydrocodone,2003,"Rate per 100,000",10.42788,
18,Indiana,Hydrocodone,2002,"Rate per 100,000",9.04118,
18,Indiana,Hydrocodone,2001,"Rate per 100,000",7.27316,
18,Indiana,Hydrocodone,2000,"Rate per 100,000",6.94136,
18,Indiana,Oxycodone,2016,"Rate per 100,000",16.08108,
18,Indiana,Oxycodone,2015,"Rate per 100,000",16.78305,
18,Indiana,Oxycodone,2014,"Rate per 100,000",16.82455,
18,Indiana,Oxycodone,2013,"Rate per 100,000",17.79726,
18,Indiana,Oxycodone,2012,"Rate per 100,000",18.25772,
18,Indiana,Oxycodone,2011,"Rate per 100,000",16.07516,
18,Indiana,Oxycodone,2010,"Rate per 100,000",15.22895,
18,Indiana,Oxycodone,2009,"Rate per 100,000",14.38083,
18,Indiana,Oxycodone,2008,"Rate per 100,000",12.90737,
18,Indiana,Oxycodone,2007,"Rate per 100,000",12.16413,
18,Indiana,Oxycodone,2006,"Rate per 100,000",9.91816,
18,Indiana,Oxycodone,2005,"Rate per 100,000",8.4371,
18,Indiana,Oxycodone,2004,"Rate per 100,000",8.4152,
18,Indiana,Oxycodone,2003,"Rate per 100,000",7.64406,
18,Indiana,Oxycodone,2002,"Rate per 100,000",6.68308,
18,Indiana,Oxycodone,2001,"Rate per 100,000",6.60196,
18,Indiana,Oxycodone,2000,"Rate per 100,000",4.96848,
19,Iowa,Oxycodone,2000,"Rate per 100,000",2.70494,
19,Iowa,Oxycodone,2001,"Rate per 100,000",3.74662,
19,Iowa,Oxycodone,2002,"Rate per 100,000",4.69592,
19,Iowa,Oxycodone,2003,"Rate per 100,000",5.81044,
19,Iowa,Oxycodone,2004,"Rate per 100,000",6.12736,
19,Iowa,Oxycodone,2005,"Rate per 100,000",6.21426,
19,Iowa,Oxycodone,2006,"Rate per 100,000",6.97857,
19,Iowa,Oxycodone,2007,"Rate per 100,000",7.48559,
19,Iowa,Oxycodone,2008,"Rate per 100,000",7.93265,
19,Iowa,Oxycodone,2009,"Rate per 100,000",7.88334,
19,Iowa,Oxycodone,2010,"Rate per 100,000",8.13875,
19,Iowa,Oxycodone,2011,"Rate per 100,000",9.00386,
19,Iowa,Oxycodone,2012,"Rate per 100,000",9.35126,
19,Iowa,Oxycodone,2013,"Rate per 100,000",8.5374,
19,Iowa,Oxycodone,2014,"Rate per 100,000",8.64562,
19,Iowa,Oxycodone,2015,"Rate per 100,000",8.59927,
19,Iowa,Oxycodone,2016,"Rate per 100,000",7.92372,
19,Iowa,Hydrocodone,2000,"Rate per 100,000",2.86534,
19,Iowa,Hydrocodone,2001,"Rate per 100,000",3.31199,
19,Iowa,Hydrocodone,2002,"Rate per 100,000",4.10175,
19,Iowa,Hydrocodone,2003,"Rate per 100,000",4.92214,
19,Iowa,Hydrocodone,2004,"Rate per 100,000",5.46482,
19,Iowa,Hydrocodone,2005,"Rate per 100,000",5.95734,
19,Iowa,Hydrocodone,2006,"Rate per 100,000",6.63646,
19,Iowa,Hydrocodone,2007,"Rate per 100,000",7.53961,
19,Iowa,Hydrocodone,2008,"Rate per 100,000",8.79642,
19,Iowa,Hydrocodone,2009,"Rate per 100,000",9.01049,
19,Iowa,Hydrocodone,2010,"Rate per 100,000",9.30566,
19,Iowa,Hydrocodone,2011,"Rate per 100,000",10.3376,
19,Iowa,Hydrocodone,2012,"Rate per 100,000",10.22278,
19,Iowa,Hydrocodone,2013,"Rate per 100,000",10.22552,
19,Iowa,Hydrocodone,2014,"Rate per 100,000",9.98319,
19,Iowa,Hydrocodone,2015,"Rate per 100,000",9.34549,
19,Iowa,Hydrocodone,2016,"Rate per 100,000",8.55404,
19,Iowa,Oxycodone,2017,"Rate per 100,000",7.019,
19,Iowa,Hydrocodone,2017,"Rate per 100,000",7.50323,
20,Kansas,Hydrocodone,2017,"Rate per 100,000",11.3172,
20,Kansas,Oxycodone,2017,"Rate per 100,000",17.11907,
20,Kansas,Hydrocodone,2016,"Rate per 100,000",12.43705,
20,Kansas,Hydrocodone,2015,"Rate per 100,000",13.45245,
20,Kansas,Hydrocodone,2014,"Rate per 100,000",15.16141,
20,Kansas,Hydrocodone,2013,"Rate per 100,000",17.03281,
20,Kansas,Hydrocodone,2012,"Rate per 100,000",16.87642,
20,Kansas,Hydrocodone,2011,"Rate per 100,000",16.5788,
20,Kansas,Hydrocodone,2010,"Rate per 100,000",15.14728,
20,Kansas,Hydrocodone,2009,"Rate per 100,000",15.1013,
20,Kansas,Hydrocodone,2008,"Rate per 100,000",17.70123,
20,Kansas,Hydrocodone,2007,"Rate per 100,000",17.31089,
20,Kansas,Hydrocodone,2006,"Rate per 100,000",13.72913,
20,Kansas,Hydrocodone,2005,"Rate per 100,000",10.85611,
20,Kansas,Hydrocodone,2004,"Rate per 100,000",8.80084,
20,Kansas,Hydrocodone,2003,"Rate per 100,000",8.54854,
20,Kansas,Hydrocodone,2002,"Rate per 100,000",6.88041,
20,Kansas,Hydrocodone,2001,"Rate per 100,000",5.35775,
20,Kansas,Hydrocodone,2000,"Rate per 100,000",4.27044,
20,Kansas,Oxycodone,2016,"Rate per 100,000",18.42742,
20,Kansas,Oxycodone,2015,"Rate per 100,000",18.73301,
20,Kansas,Oxycodone,2014,"Rate per 100,000",17.85338,
20,Kansas,Oxycodone,2013,"Rate per 100,000",16.93308,
20,Kansas,Oxycodone,2012,"Rate per 100,000",17.32722,
20,Kansas,Oxycodone,2011,"Rate per 100,000",16.68371,
20,Kansas,Oxycodone,2010,"Rate per 100,000",15.20898,
20,Kansas,Oxycodone,2009,"Rate per 100,000",14.92547,
20,Kansas,Oxycodone,2008,"Rate per 100,000",14.22821,
20,Kansas,Oxycodone,2007,"Rate per 100,000",13.93383,
20,Kansas,Oxycodone,2006,"Rate per 100,000",11.48191,
20,Kansas,Oxycodone,2005,"Rate per 100,000",9.7539,
20,Kansas,Oxycodone,2004,"Rate per 100,000",9.02917,
20,Kansas,Oxycodone,2003,"Rate per 100,000",7.8142,
20,Kansas,Oxycodone,2002,"Rate per 100,000",6.18896,
20,Kansas,Oxycodone,2001,"Rate per 100,000",4.97189,
20,Kansas,Oxycodone,2000,"Rate per 100,000",3.64934,
21,Kentucky,Oxycodone,2000,"Rate per 100,000",8.20952,
21,Kentucky,Oxycodone,2001,"Rate per 100,000",8.68108,
21,Kentucky,Oxycodone,2002,"Rate per 100,000",8.89361,
21,Kentucky,Oxycodone,2003,"Rate per 100,000",10.21118,
21,Kentucky,Oxycodone,2004,"Rate per 100,000",11.03094,
21,Kentucky,Oxycodone,2005,"Rate per 100,000",10.61593,
21,Kentucky,Oxycodone,2006,"Rate per 100,000",13.31496,
21,Kentucky,Oxycodone,2007,"Rate per 100,000",14.97926,
21,Kentucky,Oxycodone,2008,"Rate per 100,000",16.9161,
21,Kentucky,Oxycodone,2009,"Rate per 100,000",19.24787,
21,Kentucky,Oxycodone,2010,"Rate per 100,000",22.13556,
21,Kentucky,Oxycodone,2011,"Rate per 100,000",25.42062,
21,Kentucky,Oxycodone,2012,"Rate per 100,000",24.15694,
21,Kentucky,Oxycodone,2013,"Rate per 100,000",20.16084,
21,Kentucky,Oxycodone,2014,"Rate per 100,000",20.41383,
21,Kentucky,Oxycodone,2015,"Rate per 100,000",20.59893,
21,Kentucky,Oxycodone,2016,"Rate per 100,000",20.10987,
21,Kentucky,Hydrocodone,2000,"Rate per 100,000",9.86216,
21,Kentucky,Hydrocodone,2001,"Rate per 100,000",11.40932,
21,Kentucky,Hydrocodone,2002,"Rate per 100,000",13.80918,
21,Kentucky,Hydrocodone,2003,"Rate per 100,000",16.13675,
21,Kentucky,Hydrocodone,2004,"Rate per 100,000",16.98912,
21,Kentucky,Hydrocodone,2005,"Rate per 100,000",18.00965,
21,Kentucky,Hydrocodone,2006,"Rate per 100,000",20.68332,
21,Kentucky,Hydrocodone,2007,"Rate per 100,000",25.87739,
21,Kentucky,Hydrocodone,2008,"Rate per 100,000",25.28428,
21,Kentucky,Hydrocodone,2009,"Rate per 100,000",27.20666,
21,Kentucky,Hydrocodone,2010,"Rate per 100,000",26.87997,
21,Kentucky,Hydrocodone,2011,"Rate per 100,000",28.98072,
21,Kentucky,Hydrocodone,2012,"Rate per 100,000",27.27344,
21,Kentucky,Hydrocodone,2013,"Rate per 100,000",26.4703,
21,Kentucky,Hydrocodone,2014,"Rate per 100,000",23.42774,
21,Kentucky,Hydrocodone,2015,"Rate per 100,000",21.39248,
21,Kentucky,Hydrocodone,2016,"Rate per 100,000",20.15693,
21,Kentucky,Oxycodone,2017,"Rate per 100,000",18.7972,
21,Kentucky,Hydrocodone,2017,"Rate per 100,000",18.27051,
22,Louisiana,Hydrocodone,2017,"Rate per 100,000",14.36117,
22,Louisiana,Oxycodone,2017,"Rate per 100,000",16.99042,
22,Louisiana,Hydrocodone,2016,"Rate per 100,000",16.11176,
22,Louisiana,Hydrocodone,2015,"Rate per 100,000",16.99057,
22,Louisiana,Hydrocodone,2014,"Rate per 100,000",19.36075,
22,Louisiana,Hydrocodone,2013,"Rate per 100,000",23.68584,
22,Louisiana,Hydrocodone,2012,"Rate per 100,000",21.06639,
22,Louisiana,Hydrocodone,2011,"Rate per 100,000",20.54717,
22,Louisiana,Hydrocodone,2010,"Rate per 100,000",18.54295,
22,Louisiana,Hydrocodone,2009,"Rate per 100,000",18.9847,
22,Louisiana,Hydrocodone,2008,"Rate per 100,000",19.19707,
22,Louisiana,Hydrocodone,2007,"Rate per 100,000",25.26718,
22,Louisiana,Hydrocodone,2006,"Rate per 100,000",17.92322,
22,Louisiana,Hydrocodone,2005,"Rate per 100,000",17.25888,
22,Louisiana,Hydrocodone,2004,"Rate per 100,000",16.02154,
22,Louisiana,Hydrocodone,2003,"Rate per 100,000",14.09952,
22,Louisiana,Hydrocodone,2002,"Rate per 100,000",11.78012,
22,Louisiana,Hydrocodone,2001,"Rate per 100,000",9.6965,
22,Louisiana,Hydrocodone,2000,"Rate per 100,000",8.58994,
22,Louisiana,Oxycodone,2016,"Rate per 100,000",18.77734,
22,Louisiana,Oxycodone,2015,"Rate per 100,000",18.61193,
22,Louisiana,Oxycodone,2014,"Rate per 100,000",17.8208,
22,Louisiana,Oxycodone,2013,"Rate per 100,000",17.17809,
22,Louisiana,Oxycodone,2012,"Rate per 100,000",17.33099,
22,Louisiana,Oxycodone,2011,"Rate per 100,000",17.27368,
22,Louisiana,Oxycodone,2010,"Rate per 100,000",16.27636,
22,Louisiana,Oxycodone,2009,"Rate per 100,000",15.82495,
22,Louisiana,Oxycodone,2008,"Rate per 100,000",15.19331,
22,Louisiana,Oxycodone,2007,"Rate per 100,000",14.59555,
22,Louisiana,Oxycodone,2006,"Rate per 100,000",12.22456,
22,Louisiana,Oxycodone,2005,"Rate per 100,000",10.15587,
22,Louisiana,Oxycodone,2004,"Rate per 100,000",8.85857,
22,Louisiana,Oxycodone,2003,"Rate per 100,000",7.97827,
22,Louisiana,Oxycodone,2002,"Rate per 100,000",7.04207,
22,Louisiana,Oxycodone,2001,"Rate per 100,000",6.75595,
22,Louisiana,Oxycodone,2000,"Rate per 100,000",5.21882,
23,Maine,Oxycodone,2000,"Rate per 100,000",10.18961,
23,Maine,Oxycodone,2001,"Rate per 100,000",11.33361,
23,Maine,Oxycodone,2002,"Rate per 100,000",13.57268,
23,Maine,Oxycodone,2003,"Rate per 100,000",15.251,
23,Maine,Oxycodone,2004,"Rate per 100,000",16.77124,
23,Maine,Oxycodone,2005,"Rate per 100,000",17.35201,
23,Maine,Oxycodone,2006,"Rate per 100,000",20.81237,
23,Maine,Oxycodone,2007,"Rate per 100,000",24.29651,
23,Maine,Oxycodone,2008,"Rate per 100,000",26.21091,
23,Maine,Oxycodone,2009,"Rate per 100,000",27.71003,
23,Maine,Oxycodone,2010,"Rate per 100,000",29.04993,
23,Maine,Oxycodone,2011,"Rate per 100,000",29.85078,
23,Maine,Oxycodone,2012,"Rate per 100,000",28.94358,
23,Maine,Oxycodone,2013,"Rate per 100,000",26.57016,
23,Maine,Oxycodone,2014,"Rate per 100,000",26.15007,
23,Maine,Oxycodone,2015,"Rate per 100,000",24.74937,
23,Maine,Oxycodone,2016,"Rate per 100,000",21.1871,
23,Maine,Hydrocodone,2000,"Rate per 100,000",3.35225,
23,Maine,Hydrocodone,2001,"Rate per 100,000",3.73095,
23,Maine,Hydrocodone,2002,"Rate per 100,000",4.82451,
23,Maine,Hydrocodone,2003,"Rate per 100,000",5.63251,
23,Maine,Hydrocodone,2004,"Rate per 100,000",6.62891,
23,Maine,Hydrocodone,2005,"Rate per 100,000",7.12982,
23,Maine,Hydrocodone,2006,"Rate per 100,000",8.20852,
23,Maine,Hydrocodone,2007,"Rate per 100,000",8.93464,
23,Maine,Hydrocodone,2008,"Rate per 100,000",9.32483,
23,Maine,Hydrocodone,2009,"Rate per 100,000",9.62859,
23,Maine,Hydrocodone,2010,"Rate per 100,000",9.57005,
23,Maine,Hydrocodone,2011,"Rate per 100,000",10.20295,
23,Maine,Hydrocodone,2012,"Rate per 100,000",9.73116,
23,Maine,Hydrocodone,2013,"Rate per 100,000",9.07658,
23,Maine,Hydrocodone,2014,"Rate per 100,000",8.49348,
23,Maine,Hydrocodone,2015,"Rate per 100,000",7.57208,
23,Maine,Hydrocodone,2016,"Rate per 100,000",6.28093,
23,Maine,Oxycodone,2017,"Rate per 100,000",15.38043,
23,Maine,Hydrocodone,2017,"Rate per 100,000",5.1536,
24,Maryland,Hydrocodone,2017,"Rate per 100,000",2.39106,
24,Maryland,Oxycodone,2017,"Rate per 100,000",22.42073,
24,Maryland,Hydrocodone,2016,"Rate per 100,000",2.78362,
24,Maryland,Hydrocodone,2015,"Rate per 100,000",3.07563,
24,Maryland,Hydrocodone,2014,"Rate per 100,000",3.61392,
24,Maryland,Hydrocodone,2013,"Rate per 100,000",3.99258,
24,Maryland,Hydrocodone,2012,"Rate per 100,000",4.13507,
24,Maryland,Hydrocodone,2011,"Rate per 100,000",4.43207,
24,Maryland,Hydrocodone,2010,"Rate per 100,000",4.21499,
24,Maryland,Hydrocodone,2009,"Rate per 100,000",4.67251,
24,Maryland,Hydrocodone,2008,"Rate per 100,000",4.57025,
24,Maryland,Hydrocodone,2007,"Rate per 100,000",4.25763,
24,Maryland,Hydrocodone,2006,"Rate per 100,000",4.59792,
24,Maryland,Hydrocodone,2005,"Rate per 100,000",4.36267,
24,Maryland,Hydrocodone,2004,"Rate per 100,000",3.40018,
24,Maryland,Hydrocodone,2003,"Rate per 100,000",3.55276,
24,Maryland,Hydrocodone,2002,"Rate per 100,000",3.13088,
24,Maryland,Hydrocodone,2001,"Rate per 100,000",2.25885,
24,Maryland,Hydrocodone,2000,"Rate per 100,000",2.56627,
24,Maryland,Oxycodone,2016,"Rate per 100,000",24.98251,
24,Maryland,Oxycodone,2015,"Rate per 100,000",25.63868,
24,Maryland,Oxycodone,2014,"Rate per 100,000",25.82391,
24,Maryland,Oxycodone,2013,"Rate per 100,000",25.87927,
24,Maryland,Oxycodone,2012,"Rate per 100,000",27.84462,
24,Maryland,Oxycodone,2011,"Rate per 100,000",29.88534,
24,Maryland,Oxycodone,2010,"Rate per 100,000",28.94552,
24,Maryland,Oxycodone,2009,"Rate per 100,000",27.0251,
24,Maryland,Oxycodone,2008,"Rate per 100,000",22.57473,
24,Maryland,Oxycodone,2007,"Rate per 100,000",20.69179,
24,Maryland,Oxycodone,2006,"Rate per 100,000",17.46701,
24,Maryland,Oxycodone,2005,"Rate per 100,000",16.34616,
24,Maryland,Oxycodone,2004,"Rate per 100,000",15.14727,
24,Maryland,Oxycodone,2003,"Rate per 100,000",15.45309,
24,Maryland,Oxycodone,2002,"Rate per 100,000",12.38455,
24,Maryland,Oxycodone,2001,"Rate per 100,000",11.10799,
24,Maryland,Oxycodone,2000,"Rate per 100,000",8.93629,
25,Massachusetts,Oxycodone,2000,"Rate per 100,000",9.06408,
25,Massachusetts,Oxycodone,2001,"Rate per 100,000",10.99394,
25,Massachusetts,Oxycodone,2002,"Rate per 100,000",12.80147,
25,Massachusetts,Oxycodone,2003,"Rate per 100,000",14.2072,
25,Massachusetts,Oxycodone,2004,"Rate per 100,000",15.8824,
25,Massachusetts,Oxycodone,2005,"Rate per 100,000",15.66092,
25,Massachusetts,Oxycodone,2006,"Rate per 100,000",16.79426,
